ID,ln(Alanine),Arginine,Asparagine,Aspartic_acid,ln(Glutamic_acid),ln(Glutamine),Glycine,-1/Isoleucine,Leucine,ln(Lysine),Phenylalanine,ln(Serine),Threonine,ln(Tyrosine),Area,Length,Width,Diameter,ln(KHI),Weight,-1/(500-HFN)
55,-0.444420705,0.706552507,1.709261981,2.415491895,0.107947659,-2.358851988,0.226481819,-11.77566695,0.211705527,-1.490477166,0.299011557,-1.805680243,0.086639433,-1.273267857,19.53333333,6.933333333,3.633333333,3.332778853,4.333054972,32.94378604,-0.007575758
56,-0.21437357,0.973623877,2.111814721,2.418130575,0.222589615,-1.811372724,0.235235394,-9.650482585,0.218499976,-1.464193366,0.304690792,-1.59076086,0.094516202,-1.556423455,22.93333333,7.366666667,3.966666667,3.729977768,4.161621724,40.50630059,-0.005089059
57,-0.290670687,0.774469174,1.82886716,2.26607413,0.269537459,-1.994356912,0.268905924,-10.11292302,0.248311897,-1.472954905,0.330427655,-1.629483091,0.117893986,-1.763344155,19.56666667,6.766666667,3.7,3.384903991,4.212445659,33.24951125,-0.004608295
58,-0.478098429,0.621095501,1.426669663,2.255691158,-0.012994027,-2.365387394,0.190337731,-11.7038626,0.180242889,-1.573386466,0.286843525,-1.790197628,0.0872869,-1.524057125,21.06666667,7.166666667,3.766666667,3.532567936,4.02801186,36.56077321,-0.00952381
59,-0.429499399,0.754254587,1.875384398,2.430817992,0.057670489,-1.804318634,0.201060001,-10.80410281,0.13739525,-1.572251898,0.252820077,-1.785629393,0.081544747,-2.167868177,20.7,7.033333333,3.733333333,3.317259157,4.052547064,34.37962955,-0.010810811
60,-0.374424165,0.87576848,2.278100983,3.042965466,0.380318736,-1.601722895,0.216077924,-9.457063372,0.177740386,-1.619712703,0.288562628,-1.641430754,0.086510759,-1.737581838,21.03333333,6.8,3.933333333,3.464198586,4.166985369,35.85806168,-0.010050251
61,-0.297068529,0.720703854,1.919742328,2.822798882,0.285190987,-2.297038792,0.228986696,-10.5454152,0.183434264,-1.569343591,0.287144863,-1.677036765,0.090901028,-1.403207143,18.43333333,6.566666667,3.6,3.249473296,4.224224075,31.05467832,-0.004878049
62,-0.423348654,0.571907186,1.608737515,2.695448004,0.093810662,-2.414834225,0.198019165,-10.88691577,0.161237511,-1.660265636,0.264044417,-1.784956883,0.077182516,-1.901366308,21.46666667,7.033333333,3.866666667,3.439764958,3.990958466,36.43756997,-0.007968127
63,-0.17013271,1.029043464,2.665623953,2.144861608,0.39854488,-1.371595777,0.231187292,-8.869035415,0.240887443,-1.310270611,0.317078865,-1.656695121,0.104262219,-1.046256364,18.7,6.6,3.6,3.138055278,4.344782343,30.21811662,-0.004651163
64,-0.383814704,0.825401593,2.178454754,2.528346767,0.236435586,-1.505452783,0.233846852,-7.269930544,0.198153358,-1.320153185,0.295425359,-1.577024257,0.100365325,-0.525875785,19.56666667,6.733333333,3.733333333,3.249340403,4.055942971,30.98319002,-0.008298755
65,-0.386486079,0.784790453,2.141031864,2.834522764,0.275611289,-1.481255072,0.219294896,-9.376350341,0.224242614,-1.301342873,0.302267463,-1.593990471,0.089296815,-1.277990777,18.93333333,6.733333333,3.566666667,3.101663658,4.186663311,29.54582558,-0.009852217
66,-0.552607082,0.650818274,1.455854583,1.519832732,-0.056928102,-2.433763644,0.189960493,-12.68213769,0.134338952,-1.533835641,0.241183666,-2.012530328,0.06791422,-1.746527204,20.86666667,7.033333333,3.733333333,3.290925123,4.05563442,35.00020549,-0.010309278
67,-0.511386758,0.687480092,1.97859585,2.119405365,0.275110784,-2.207375491,0.214836902,-10.20354074,0.178921382,-1.372512244,0.270537312,-2.012826076,0.075950223,-1.504787084,20.16666667,7.1,3.633333333,3.28881422,4.261593129,33.75448944,-0.006472492
68,-0.544502809,0.514337846,1.596300551,2.148747629,-0.04469254,-2.128244701,0.171692076,-10.887686,0.13972748,-1.626869478,0.240050363,-2.134975588,0.069014407,-1.676707033,20.46666667,6.933333333,3.733333333,3.34452937,4.043049171,34.62907636,-0.009345794
69,-0.372572211,0.775575333,2.147189873,2.987326855,0.351796605,-2.285751182,0.227666633,-10.55325458,0.165342551,-1.567250676,0.266326383,-1.858851828,0.08138567,-1.231682835,20.5,7.166666667,3.6,3.092933848,4.158860889,31.8942812,-0.00862069
70,-0.499042577,0.605619547,1.748340056,2.03297216,0.038273915,-2.45047931,0.191029382,-10.89047386,0.15649716,-1.678000948,0.24406199,-2.141598304,0.06119118,-1.78257712,21.8,7.4,3.766666667,3.453901854,4.181833982,38.065062,-0.008097166
71,-0.233267309,0.780838695,2.190138588,2.3483304,0.421833234,-2.388440052,0.227243688,-10.84719877,0.15995544,-1.464834868,0.266517106,-1.538499736,0.089021432,-1.288496884,18.33333333,6.633333333,3.466666667,3.021107183,4.350243999,27.53199401,-0.004587156
72,-0.273564512,0.853074523,1.929157879,2.426552852,0.40919407,-1.730378621,0.174038075,-8.983365547,0.214218831,-1.42598093,0.300712271,-1.691750691,0.091793537,-1.489162399,20.36666667,6.8,3.766666667,3.411767449,4.169384584,33.76817889,-0.007462687
73,-0.384026527,0.720577336,1.495171513,1.81524466,0.093909841,-2.809873613,0.178133288,-12.46767521,0.149226168,-1.585145399,0.24353544,-1.834867262,0.069257422,-1.446320684,20.66666667,7.133333333,3.7,3.302107569,4.1037548,33.56892522,-0.005291005
74,-0.478440044,0.656252022,1.558298471,1.58406905,0.069682199,-2.452841887,0.171284168,-10.55162536,0.180915081,-1.609185349,0.254660231,-2.046062937,0.067977833,-1.261831894,21.16666667,7.033333333,3.8,3.452041146,4.187451011,35.43825942,-0.007751938
75,-0.619004799,0.88603301,1.969466165,2.701418316,0.294186925,-2.135684032,0.172652776,-9.512865742,0.14673562,-1.537194449,0.245885928,-1.888357395,0.07006746,-1.48064949,20.43333333,7,3.733333333,3.385065739,4.112637089,34.1940646,-0.01183432
76,-0.413637809,0.785707416,2.781677728,2.665541901,0.604551917,-1.607077495,0.207612877,-9.921691069,0.161570374,-1.455326222,0.263501304,-1.800094604,0.086529451,-1.507086783,20.53333333,7.033333333,3.7,3.100602142,4.225800014,29.95954315,-0.008403361
77,-0.431087292,1.097897297,2.542204428,2.130940083,0.400148256,-1.789112845,0.196922432,-7.680219558,0.215090955,-1.407088349,0.286487177,-1.871855172,0.072633793,-1.39726912,19.03333333,6.866666667,3.533333333,3.0059576,4.319421861,29.53974176,-0.00617284
78,-0.114006801,1.237773784,3.137111828,1.932988775,0.879657233,-0.71535494,0.25754114,-4.0929152,0.208507496,-1.459768176,0.27182302,-1.227049525,0.112001887,-1.214874226,20.96666667,6.933333333,3.8,3.306648594,4.099011891,33.88225563,-0.004618938
79,-0.357389225,0.87158176,2.427859968,2.548305348,0.594365821,-0.988139046,0.210867255,-6.145684571,0.183358583,-1.49489064,0.262752993,-1.59232483,0.087609702,-1.519758277,19.76666667,6.8,3.7,3.046672448,4.206901933,30.07514104,-0.009009009
80,-0.838648037,0.564076389,1.536808485,1.126953926,-0.153487284,-2.833459286,0.173250252,-13.26301284,0.143671493,-1.656008361,0.231022044,-2.350438143,0.054824968,-1.676271711,17.46666667,6.3,3.6,3.262688932,4.399577524,29.96258526,-0.005063291
81,-0.676771412,0.634353448,1.779407066,2.283974503,0.261050351,-1.868097307,0.159381996,-9.775584258,0.154221298,-1.645426404,0.2460997,-2.000668255,0.066091498,-1.699739639,22.36666667,7.3,3.866666667,3.522264105,4.052492505,37.71826943,-0.007782101
82,-0.408759809,0.808180316,2.117245251,1.917317576,0.455683802,-1.13337887,0.189274237,-7.305931162,0.211303989,-1.499121035,0.283034253,-1.696545247,0.086563408,-1.955009442,20.96666667,7.166666667,3.733333333,3.301032298,4.084510815,34.61538737,-0.00621118
83,-0.550646222,0.839814799,2.146261102,1.623548162,0.058799397,-2.04504255,0.197513149,-9.781404392,0.215576628,-1.399559601,0.278732156,-2.10503,0.072269821,-1.376606548,20.23333333,6.733333333,3.833333333,3.391739548,4.285666415,34.63059753,-0.00443459
84,-0.613329217,0.967661703,1.884288662,1.074009763,0.194114471,-2.137570415,0.201635673,-11.51747276,0.179088893,-1.53155445,0.251479884,-2.199212637,0.066644358,-1.231231311,20.2,6.766666667,3.8,3.324456274,4.264699786,33.39857091,-0.004056795
85,-0.300582914,0.969762259,2.420141703,2.524851082,0.443591393,-1.480603937,0.184469594,-6.651921751,0.237319207,-1.361237561,0.307399337,-1.707054269,0.091770453,-1.325103074,19.6,6.8,3.633333333,3.133512267,4.180758684,30.87519759,-0.006514658
86,-0.539992279,0.931062779,1.972502092,1.725841876,0.090549197,-2.020221207,0.167239381,-10.40741426,0.178739888,-1.418994556,0.257983284,-2.061824737,0.073301191,-1.358983466,21.5,7,3.9,3.656798257,4.165294889,37.87341349,-0.005050505
87,-0.66144962,0.807701543,1.912254338,1.694257429,0.097655243,-2.206827731,0.168331379,-10.74624944,0.182333207,-1.542023186,0.26184044,-2.05588452,0.072004809,-1.438220117,21.23333333,7,3.9,3.654442931,4.003762854,37.88558174,-0.008547009
88,-0.599299799,0.616677692,2.084062091,2.3394687,0.309076759,-2.151112794,0.185158682,-10.47754228,0.180093376,-1.498369539,0.271462819,-1.97949379,0.076332335,-1.590205173,18.66666667,6.733333333,3.466666667,3.013659056,4.227966078,28.7944414,-0.011363636
89,-0.63686053,0.533502694,1.475855827,2.160655392,0.092051123,-2.372336506,0.167959598,-10.24495839,0.160692439,-1.501784313,0.259174869,-2.178903868,0.065971633,-1.933581659,20.66666667,7,3.766666667,3.472263806,4.159731074,35.80634647,-0.006289308
90,-0.371350253,0.803307296,2.058196083,1.130492857,0.082356824,-2.120190222,0.207426638,-10.78621137,0.161194022,-1.389791625,0.250668356,-2.091676873,0.063209971,-1.902349307,23.2,7.366666667,3.933333333,3.677790923,4.558276326,41.2926681,-0.008097166
91,-0.532036102,0.882420785,2.200491915,2.880535768,0.248916895,-2.277634806,0.201760025,-10.19479771,0.161634858,-1.405239672,0.267879347,-2.041470917,0.07447053,-1.568918408,21.56666667,7.1,3.9,3.517278202,4.041158854,36.17443362,-0.00896861
92,-0.146594835,1.013779707,3.198693118,2.820267478,0.696393506,-1.196767803,0.242097399,-8.623361187,0.183225471,-1.321401103,0.269789719,-1.573984952,0.113080692,-1.379247866,18.43333333,6.5,3.566666667,3.071371154,4.224431218,28.4385228,-0.004535147
93,-0.405750589,0.799737585,2.234905767,2.634977046,0.471282736,-1.221792829,0.21836813,-6.768669982,0.199674781,-1.360605983,0.28902565,-1.760342817,0.106103802,-1.550346758,20.73333333,7,3.8,3.30496544,4.44187898,32.82970937,-0.008510638
94,-0.202527888,0.731870533,2.10967602,1.291591722,0.3191011,-1.24866277,0.231764404,-9.077866672,0.241238676,-1.243125284,0.300348134,-1.967412594,0.101259105,-1.059852368,21.2,6.933333333,3.9,3.239798157,4.01218581,33.29818376,-0.00530504
95,-0.438607361,0.766777885,2.311142046,2.395924583,0.452148845,-2.264184947,0.193228284,-9.786375461,0.186451155,-1.352897203,0.28247254,-1.96158119,0.087514566,-1.547470404,18.53333333,6.666666667,3.5,3.039280651,4.268105166,27.14717633,-0.008097166
96,-0.325728949,0.801010736,2.521442568,3.166900063,0.522969595,-1.673420476,0.198798481,-8.119126157,0.234107952,-1.30774895,0.321291795,-1.763117991,0.101864311,-1.66120216,18.73333333,6.633333333,3.533333333,3.015550313,4.240851687,28.85528247,-0.004494382
97,-0.337198399,0.808622845,2.144981051,2.851396295,0.522813167,-1.481406192,0.190398903,-7.408815247,0.205508288,-1.388782658,0.291823813,-1.796793595,0.083671467,-1.477993381,22.06666667,7.2,3.866666667,3.303866777,3.882472256,36.88475039,-0.007782101
98,-0.473176623,0.625479049,1.904663195,2.344538843,0.248686557,-1.752555881,0.165373291,-9.229747654,0.195626387,-1.545812438,0.290122677,-1.898183757,0.069223138,-1.68468327,21.76666667,7.133333333,3.866666667,3.59071547,4.086963724,38.65826028,-0.008298755
99,-0.351746182,0.813405162,2.198635701,2.221498051,0.377206004,-1.663771461,0.170196232,-7.446548618,0.233518455,-1.43040859,0.322986834,-1.735634754,0.078983154,-1.512350762,20.93333333,7.1,3.766666667,3.330249033,4.106411469,34.70816985,-0.004683841
100,-0.57594291,0.733994056,2.040665118,1.839230039,0.192496226,-1.857454781,0.19186877,-9.452780342,0.215195564,-1.608245109,0.307757031,-2.037097189,0.072409711,-1.677016281,20.4,6.866666667,3.733333333,3.221933737,4.162155069,33.18258616,-0.010050251
101,-0.65865221,0.727691604,1.619591248,1.394813799,-0.07818936,-2.410851326,0.163950421,-11.57779786,0.186464407,-1.491133071,0.273744412,-2.207978925,0.060421882,-1.645453725,19.93333333,6.8,3.733333333,3.536898509,4.295369883,34.67774943,-0.005277045
102,-0.542313092,0.656605193,1.687898808,1.86379646,0.052077745,-2.319725728,0.166402802,-10.57979062,0.217590196,-1.535596998,0.309087839,-2.112820595,0.072000435,-1.736247643,21.96666667,7.266666667,3.766666667,3.489084747,4.063645373,37.95554882,-0.008130081
103,-0.107102446,1.122421604,2.610709131,1.786971602,0.641090242,-1.071798471,0.204950637,-5.671302491,0.260703679,-1.243150353,0.323904075,-1.487752979,0.09896098,-1.112417559,19.76666667,6.7,3.7,3.467437718,4.22143583,34.36289818,-0.003952569
104,-0.382658437,0.925282233,1.935136475,1.535126767,0.226541627,-1.355260585,0.209628465,-9.438796798,0.19868692,-1.252997789,0.275399595,-1.717629805,0.076918157,-1.223654063,19.3,6.633333333,3.666666667,3.31476223,4.327209629,32.59547219,-0.004395604
105,-0.298328012,0.746382298,2.245452828,2.597974867,0.501500168,-1.511293448,0.20684464,-6.754557144,0.223490972,-1.302457991,0.298640793,-1.671553824,0.082996165,-1.463705909,20.93333333,7.1,3.766666667,3.2923753,4.16876654,34.61082448,-0.005102041
106,-0.47219905,0.766254825,2.223323406,2.073582068,0.397815054,-1.34976927,0.190778972,-7.18383693,0.235358347,-1.372729837,0.29148129,-1.885283039,0.074809005,-1.770580871,18.33333333,6.566666667,3.533333333,3.188315939,4.156172121,30.07666209,-0.010989011
107,-0.73850191,0.584573671,1.39034965,1.708579965,0.002920734,-2.242589168,0.158326575,-10.90864127,0.241914082,-1.444828595,0.306528918,-2.239397988,0.054390262,-1.930220788,21.63333333,7.3,3.766666667,3.22468875,4.039729109,34.75227898,-0.005076142
108,-0.545973705,0.568428792,1.42985509,2.140791736,0.254491947,-2.114275931,0.154203179,-10.50673356,0.2418758,-1.401077954,0.309179288,-1.995393907,0.066163188,-1.57802909,19.76666667,6.866666667,3.6,3.123659968,4.230874977,31.0592409,-0.008438819
